 0.213,-0.111,0.964,-0.94,-21.73,-2.91
 0.209,-0.098,0.975,1.49,-5.24,-0.28
 0.205,-0.111,0.956,4.24,1.72,-2.50
 0.210,-0.097,0.973,0.90,11.44,2.89
 0.167,-0.106,0.965,5.18,33.09,-2.38
 0.098,-0.086,0.999,17.07,116.51,7.57
 -0.012,-0.030,1.013,18.53,116.67,9.05
 -0.098,-0.049,0.987,15.17,116.06,6.19
 -0.293,-0.031,0.948,13.92,108.21,0.86
 -0.372,-0.051,0.927,13.19,121.70,-14.04
 -0.479,-0.008,0.878,15.10,107.10,-13.59
 -0.509,-0.011,0.866,3.71,62.85,-15.20
 -0.553,-0.019,0.841,-8.92,13.16,-5.17
 -0.484,-0.047,0.877,-22.80,-57.86,-0.77
 -0.392,-0.041,0.957,-31.40,-180.77,15.16
 -0.179,-0.112,0.958,-24.17,-196.99,18.23
 -0.066,-0.096,1.008,-10.79,-167.39,19.61
 0.064,-0.101,0.970,-4.07,-134.95,15.42
 0.170,-0.072,0.975,-2.25,-77.21,5.72
 0.193,-0.103,0.983,-7.93,-65.93,15.68
 0.220,-0.124,0.947,0.18,-32.99,5.58
 0.246,-0.126,0.938,2.87,3.57,-4.66
 0.213,-0.096,0.973,4.24,19.56,-7.00
 0.176,-0.120,0.953,10.38,46.03,-9.37
 0.113,-0.085,0.991,23.57,123.54,-6.59
 -0.032,-0.056,0.982,20.59,161.86,-9.84
 -0.193,-0.041,0.992,18.05,176.76,-12.53
 -0.334,-0.021,0.932,11.56,131.14,-13.90
 -0.363,-0.045,0.926,11.90,98.47,-17.10
 -0.471,-0.014,0.903,2.52,66.71,-17.62
 -0.483,-0.026,0.894,-2.94,30.94,-7.62
 -0.487,-0.038,0.865,-1.57,6.47,-2.38
 -0.489,-0.041,0.868,-4.82,-8.23,2.99
 -0.448,-0.046,0.906,-6.61,-48.76,-4.69
 -0.374,-0.053,0.925,-1.46,-95.55,-0.71
 -0.298,-0.018,0.952,1.09,-135.68,13.45
 -0.119,-0.078,0.983,-4.94,-97.71,4.55
 -0.127,-0.044,0.998,-4.18,-70.76,-5.47
 -0.067,-0.041,0.994,2.99,-71.12,-2.67
 0.015,-0.057,0.981,2.48,-49.79,2.88
 0.021,-0.048,1.000,-2.61,-37.64,-2.74
 0.052,-0.063,0.982,-7.87,-27.72,-4.39
